entryDate,exitDate,side,entry,exit,net,returnPct,days,reason,mfePct
"2024-02-08","2024-04-14",1,44349.6,63924.52,4389.362221981709,43.89362221981709,66,"EMA52-300 cross",66.35324783087108
"2024-04-23","2024-04-27",1,66819.32,63770,-475.896689759789,-4.75896689759789,4,"EMA52-300 cross",0.5442886877627506
"2024-05-22","2024-06-15",1,70148.34,66043.99,-604.5107168608681,-6.0451071686086815,24,"EMA52-300 cross",2.6353866677386817
"2024-07-24","2024-08-03",1,65936,61498.34,-692.352332564912,-6.9235233256491195,10,"EMA52-300 cross",6.28486714389711
"2024-09-23","2024-10-02",1,63578.76,60804.92,-455.8477831275734,-4.558477831275734,9,"EMA52-300 cross",4.591533398889824
"2024-10-05","2024-10-10",1,62086,60636.01,-253.3118593563763,-2.533118593563763,5,"EMA52-300 cross",3.8530264471861697
"2024-10-12","2025-01-10",1,62539.99,92552.49,4774.130523525829,47.74130523525829,90,"EMA52-300 cross",73.25394519570598
"2025-01-15","2025-02-03",1,96560.85,97700.59,97.91531039753592,0.9791531039753592,19,"EMA52-300 cross",13.491130204425495
"2025-02-04","2025-02-05",1,101328.51,97763.14,-371.5106094030195,-3.7151060940301948,1,"EMA52-300 cross",0.39850581045748346
"2025-06-01","2025-06-22",1,104591.88,102120.02,-256.0975001118634,-2.5609750011186336,21,"EMA52-300 cross",5.6775822367854945
"2025-06-24","2025-08-20",1,105333.94,112872.95,695.0089505813601,6.9500895058136,57,"EMA52-300 cross",18.170838383146016
"2025-08-23","2025-08-25",1,116936,113493.59,-314.08972343846233,-3.140897234384623,2,"EMA52-300 cross",0.0803858520900258
"2025-09-19","2025-09-23",1,117073.53,112650.99,-397.37970829101965,-3.9737970829101963,4,"EMA52-300 cross",0.33010023700490443
"2025-09-30","2025-10-11",1,114311.97,112774.49,-154.36410202711016,-1.5436410202711015,11,"EMA52-300 cross",10.399313387740584
"2026-01-10","2026-01-21",1,90641.27,88427.66,-263.97235277043234,-2.6397235277043234,11,"EMA52-300 cross",8.035213981445754
"2026-03-19","2026-05-23",1,71246.55,75539.5,581.9459258027226,5.819459258027226,65,"EMA52-300 cross",16.28633246101039
"2026-07-22","2026-07-25",1,66556.15,64140,-382.66127923565205,-3.8266127923565207,3,"EMA52-300 cross",0.2760676511486926
"2026-07-26","2026-07-28",1,64375.01,63755.86,-116.08244721049385,-1.1608244721049386,2,"EMA52-300 cross",2.1275181161136913
"2026-07-31","2026-08-01",1,64780.03,62887.88,-311.79638385471594,-3.1179638385471593,1,"EMA52-300 cross",0.9717964008352453
"2026-08-05","2026-08-07",1,64106.55,64323.61,13.8253953769151,0.138253953769151,2,"EMA52-300 cross",1.4330360938156872
